id,indicator_id,unit_id,scenario_rf_id,maturity_id,frequency_id,limit,interval_id
933,151,1,45,NULL,NULL,NULL,NULL
934,151,1,46,NULL,NULL,NULL,NULL
935,151,1,47,NULL,NULL,NULL,NULL
936,151,1,48,NULL,NULL,NULL,NULL
937,151,1,49,NULL,NULL,NULL,NULL
938,151,1,50,NULL,NULL,NULL,NULL
939,151,1,51,NULL,NULL,NULL,NULL
940,151,1,52,NULL,NULL,NULL,NULL
941,151,1,53,NULL,NULL,NULL,NULL
967,152,5,29,NULL,NULL,NULL,NULL
968,152,5,30,NULL,NULL,NULL,NULL
969,152,5,31,NULL,NULL,NULL,NULL
970,152,5,32,NULL,NULL,NULL,NULL
971,152,5,33,NULL,NULL,NULL,NULL
972,152,5,34,NULL,NULL,NULL,NULL
973,152,5,35,NULL,NULL,NULL,NULL
974,152,5,36,NULL,NULL,NULL,NULL
975,152,5,37,NULL,NULL,NULL,NULL
976,152,5,38,NULL,NULL,NULL,NULL
977,152,5,39,NULL,NULL,NULL,NULL
978,152,5,40,NULL,NULL,NULL,NULL
979,152,5,41,NULL,NULL,NULL,NULL
980,152,5,42,NULL,NULL,NULL,NULL
981,152,5,43,NULL,NULL,NULL,NULL
982,152,5,44,NULL,NULL,NULL,NULL
983,152,5,45,NULL,NULL,NULL,NULL
984,152,5,46,NULL,NULL,NULL,NULL
985,152,5,47,NULL,NULL,NULL,NULL
986,152,5,48,NULL,NULL,NULL,NULL
987,152,5,49,NULL,NULL,NULL,NULL
988,152,5,50,NULL,NULL,NULL,NULL
989,152,5,51,NULL,NULL,NULL,NULL
990,152,5,52,NULL,NULL,NULL,NULL
991,152,5,53,NULL,NULL,NULL,NULL
992,201,NULL,NULL,NULL,NULL,NULL,1
993,201,NULL,NULL,NULL,NULL,NULL,2
994,201,NULL,NULL,NULL,NULL,NULL,3
995,201,NULL,NULL,NULL,NULL,NULL,4
996,201,NULL,NULL,NULL,NULL,NULL,5
997,201,NULL,NULL,NULL,NULL,NULL,6
998,201,NULL,NULL,NULL,NULL,NULL,7
999,201,NULL,NULL,NULL,NULL,NULL,8
1000,201,NULL,NULL,NULL,NULL,NULL,9
1001,201,NULL,NULL,NULL,NULL,NULL,10
1002,201,NULL,NULL,NULL,NULL,NULL,11
1003,201,NULL,NULL,NULL,NULL,NULL,12
1004,201,NULL,NULL,NULL,NULL,NULL,13
1005,202,NULL,NULL,NULL,NULL,NULL,1
1006,202,NULL,NULL,NULL,NULL,NULL,2
1007,202,NULL,NULL,NULL,NULL,NULL,3
1008,202,NULL,NULL,NULL,NULL,NULL,4
1009,202,NULL,NULL,NULL,NULL,NULL,5
1010,202,NULL,NULL,NULL,NULL,NULL,6
1011,202,NULL,NULL,NULL,NULL,NULL,7
1012,202,NULL,NULL,NULL,NULL,NULL,8
1013,202,NULL,NULL,NULL,NULL,NULL,9
1014,202,NULL,NULL,NULL,NULL,NULL,10
1015,202,NULL,NULL,NULL,NULL,NULL,11
1016,202,NULL,NULL,NULL,NULL,NULL,12
1017,202,NULL,NULL,NULL,NULL,NULL,13
1018,203,NULL,NULL,NULL,NULL,NULL,1
1019,203,NULL,NULL,NULL,NULL,NULL,2
1020,203,NULL,NULL,NULL,NULL,NULL,3
1021,203,NULL,NULL,NULL,NULL,NULL,4
1022,203,NULL,NULL,NULL,NULL,NULL,5
1023,203,NULL,NULL,NULL,NULL,NULL,6
1024,203,NULL,NULL,NULL,NULL,NULL,7
1025,203,NULL,NULL,NULL,NULL,NULL,8
1026,203,NULL,NULL,NULL,NULL,NULL,9
1027,203,NULL,NULL,NULL,NULL,NULL,10
1028,203,NULL,NULL,NULL,NULL,NULL,11
1029,203,NULL,NULL,NULL,NULL,NULL,12
1030,203,NULL,NULL,NULL,NULL,NULL,13
1031,204,NULL,NULL,NULL,NULL,NULL,1
1032,204,NULL,NULL,NULL,NULL,NULL,2
1033,204,NULL,NULL,NULL,NULL,NULL,3
1034,204,NULL,NULL,NULL,NULL,NULL,4
1035,204,NULL,NULL,NULL,NULL,NULL,5
1036,204,NULL,NULL,NULL,NULL,NULL,6
1037,204,NULL,NULL,NULL,NULL,NULL,7
1038,204,NULL,NULL,NULL,NULL,NULL,8
1039,204,NULL,NULL,NULL,NULL,NULL,9
1040,204,NULL,NULL,NULL,NULL,NULL,10
1041,204,NULL,NULL,NULL,NULL,NULL,11
1042,204,NULL,NULL,NULL,NULL,NULL,12
1043,204,NULL,NULL,NULL,NULL,NULL,13
1044,205,NULL,NULL,NULL,NULL,NULL,1
1045,205,NULL,NULL,NULL,NULL,NULL,2
1046,205,NULL,NULL,NULL,NULL,NULL,3
1047,205,NULL,NULL,NULL,NULL,NULL,4
1048,205,NULL,NULL,NULL,NULL,NULL,5
1049,205,NULL,NULL,NULL,NULL,NULL,6
1050,205,NULL,NULL,NULL,NULL,NULL,7
1051,205,NULL,NULL,NULL,NULL,NULL,8
1052,205,NULL,NULL,NULL,NULL,NULL,9
1053,205,NULL,NULL,NULL,NULL,NULL,10
1054,205,NULL,NULL,NULL,NULL,NULL,11
1055,205,NULL,NULL,NULL,NULL,NULL,12
1056,205,NULL,NULL,NULL,NULL,NULL,13
1057,206,NULL,NULL,NULL,NULL,NULL,1
1058,206,NULL,NULL,NULL,NULL,NULL,2
1059,206,NULL,NULL,NULL,NULL,NULL,3
1060,206,NULL,NULL,NULL,NULL,NULL,4
1061,206,NULL,NULL,NULL,NULL,NULL,5
1062,206,NULL,NULL,NULL,NULL,NULL,6
1063,206,NULL,NULL,NULL,NULL,NULL,7
1064,206,NULL,NULL,NULL,NULL,NULL,8
1065,206,NULL,NULL,NULL,NULL,NULL,9
1066,206,NULL,NULL,NULL,NULL,NULL,10
1067,206,NULL,NULL,NULL,NULL,NULL,11
1068,206,NULL,NULL,NULL,NULL,NULL,12
1069,206,NULL,NULL,NULL,NULL,NULL,13
1070,207,NULL,NULL,NULL,NULL,NULL,1
1071,207,NULL,NULL,NULL,NULL,NULL,2
1072,207,NULL,NULL,NULL,NULL,NULL,3
1073,207,NULL,NULL,NULL,NULL,NULL,4
1074,207,NULL,NULL,NULL,NULL,NULL,5
1075,207,NULL,NULL,NULL,NULL,NULL,6
1076,207,NULL,NULL,NULL,NULL,NULL,7
1077,207,NULL,NULL,NULL,NULL,NULL,8
1078,207,NULL,NULL,NULL,NULL,NULL,9
1079,207,NULL,NULL,NULL,NULL,NULL,10
1080,207,NULL,NULL,NULL,NULL,NULL,11
1081,207,NULL,NULL,NULL,NULL,NULL,12
1082,207,NULL,NULL,NULL,NULL,NULL,13
