data_date,rf_id,price,id
2017-10-31,26,-1017111.1085,197
2017-10-31,25,2486639.37788505,198
2017-10-31,24,550918.295515009,199
2017-10-31,23,353540.6356175,200
2017-10-31,15,10867034.0760437,201
2017-10-31,14,9496803,202
2017-10-31,13,4431224.34317578,203
2017-10-31,16,22558298.2430406,204
2017-10-31,17,49594,205
2017-10-31,18,1970588.3,206
2017-10-31,19,3726840.63499631,207
2017-10-31,20,2000000,208
2017-11-30,21,3501234.03300413,209
2017-11-30,22,12183116.2756475,210
2017-11-30,27,41853467.0901303,211
2017-11-30,26,-588580.76807,212
2017-11-30,25,2586003.38387603,213
2017-11-30,24,657946.870121219,214
2017-11-30,23,350794.6227625,215
2017-11-30,15,10711467.3420108,216
2017-11-30,14,9446658.35014298,217
2017-11-30,13,4400595.54290616,218
2017-11-30,16,22978298.8343706,219
2017-11-30,17,47194.15,220
2016-11-05,28,1.3,365
2016-12-06,28,1.5,366
2017-01-06,28,1.69,367
2017-02-06,28,1.79,368
2017-03-09,28,1.84,369
2017-04-09,28,2.18,370
2017-05-10,28,2.34201674176497,371
2017-06-10,28,2.9519396602488,372
2017-07-10,28,3.1,373
2017-08-10,28,3.56882582841074,374
2017-09-10,28,3.62814966375405,375
2017-10-10,28,3.54037751934912,376
2017-11-10,28,3.52782450424967,377
2016-11-05,29,0.230625965129571,378
2016-12-06,29,0.193428129672995,379
2017-01-06,29,0.180679038805945,380
2017-02-06,29,0.204940865874055,381
2017-03-09,29,0.22,382
2017-04-09,29,0.238324701115576,383
2017-05-10,29,0.285389425289287,384
2017-06-10,29,0.267972807731497,385
2017-07-10,29,0.258619775389948,386
2017-08-10,29,0.246548771765664,387
2017-09-10,29,0.239693400818114,388
2017-10-10,29,0.25758889353211,389
2017-11-10,29,0.256562946567785,390
2016-11-05,30,0.148914551524284,391
2016-12-06,30,0.129272027185502,392
2017-01-06,30,0.0973641327910171,393
2017-02-06,30,0.13215354365077,394
2017-03-09,30,0.173734744597819,395
2017-04-09,30,0.182124858706433,396
2017-05-10,30,0.222136993271164,397
2017-06-10,30,0.203018967575275,398
2017-07-10,30,0.201354671036873,399
2017-08-10,30,0.181484186128224,400
2017-09-10,30,0.174496951019275,401
2017-10-10,30,0.194152382862888,402
2017-11-10,30,0.19929012987767,403
2016-11-05,31,0.0666869246629054,404
2016-12-06,31,0.0514161339854542,405
2017-01-06,31,0.00585405349573826,406
2017-02-06,31,0.0456032647713135,407
2017-03-09,31,0.103909240013329,408
2017-04-09,31,0.129301338805987,409
2017-05-10,31,0.16803992640999,410
2017-06-10,31,0.168625130787215,411
2017-07-10,31,0.170451475276841,412
2017-08-10,31,0.159278633497708,413
2017-09-10,31,0.146978137171446,414
2017-10-10,31,0.171945321532767,415
2017-11-10,31,0.176649197618982,416
2016-11-05,32,1.81100388285956,417
2016-12-06,32,1.66040131160453,418
2017-01-06,32,1.06397167985014,419
2017-02-06,32,1.52689910837847,420
2017-03-09,32,2.48812730579836,421
2017-04-09,32,3.44779861413389,422
2017-05-10,32,3.92,423
2017-06-10,32,5.90277173280527,424
2017-07-10,32,6.51565852931273,425
2017-08-10,32,8.17291914090058,426
2017-09-10,32,6.34100553839978,427
2017-10-10,32,8.74282193292943,428
2017-11-10,32,8.23090953844872,429
2016-11-05,33,0.31813163803197,430
2016-12-06,33,0.272133839017574,431
2017-01-06,33,0.266625728594568,432
2017-02-06,33,0.268494405429788,433
2017-03-09,33,0.29,434
2017-04-09,33,0.311050339851804,435
2017-05-10,33,0.34,436
2017-06-10,33,0.30716505730297,437
2017-07-10,33,0.297469969167674,438
2017-08-10,33,0.285969935357389,439
2017-09-10,33,0.279194459688046,440
2017-10-10,33,0.298435001358335,441
2017-11-10,33,0.298864516919445,442
2016-11-05,34,3.86891425880845,443
2016-12-06,34,3.49535311756472,444
